Cluster,RA,DEC,Mass, rhm   ,rt,rho_c,sig0,vesc,c, d_Sun  
NGC_4590,189.86658,-26.74406,1.22E+05,7.58,77.43,2.53,3.7,14.2,1.41,10.40
BH_140,193.47292,-67.17728,5.99E+04,9.53,51.41,1.31,2.4,8.0,nan,4.81
NGC_4833,194.89134,-70.87650,2.06E+05,4.76,80.15,3.13,6.1,22.5,1.25,6.48
NGC_5024,198.23021,18.16817,4.55E+05,10.18,177.72,2.87,6.3,24.1,1.72,18.50
NGC_5053,199.11288,17.70025,7.42E+04,17.31,97.05,0.50,2.0,6.3,0.74,17.54
NGC_5139,201.69699,-47.47947,3.64E+06,10.36,202.91,3.25,17.7,63.9,1.31,5.43
NGC_5272,205.54842,28.37728,4.06E+05,6.34,127.28,3.67,7.6,30.0,1.89,10.18
NGC_5286,206.61171,-51.37425,3.53E+05,3.79,93.89,4.81,9.7,39.6,1.41,11.10
AM_4,209.08907,-27.16517,7.56E+02,15.00,51.00,-0.07,0.2,0.8,0.70,29.01
NGC_5466,211.36371,28.53444,5.98E+04,14.03,79.88,0.88,1.9,6.6,1.04,16.12
NGC_5634,217.40533,-5.97643,2.28E+05,7.39,182.86,4.20,5.6,22.9,2.07,25.96
NGC_5694,219.90125,-26.53878,3.17E+05,4.86,240.54,6.70,9.2,37.4,1.89,34.84
IC_4499,225.07719,-82.21379,1.55E+05,14.96,110.32,1.47,3.0,10.7,1.21,18.89
NGC_5824,225.99416,-33.06814,7.62E+05,6.51,261.18,4.61,11.2,45.3,1.98,31.71
Pal_5,229.01917,-0.12100,9.98E+03,27.64,46.09,-0.91,0.6,1.9,0.52,21.94
NGC_5897,229.35166,-21.01012,1.57E+05,10.99,69.58,1.55,3.5,11.9,0.86,12.55
NGC_5904,229.63841,2.08103,3.94E+05,5.68,81.73,3.71,7.9,30.6,1.73,7.48
NGC_5927,232.00287,-50.67303,2.75E+05,5.28,63.78,3.37,6.7,24.2,1.60,8.27
NGC_5946,233.86905,-50.65971,9.31E+04,2.59,44.03,4.51,6.0,23.8,2.50,9.64
NGC_5986,236.51250,-37.78642,3.34E+05,4.25,65.86,3.63,8.2,30.9,1.23,10.54
FSR_1716,242.62500,-53.74889,6.43E+04,5.16,35.62,2.41,3.3,11.8,nan,7.43
Pal_14,242.75250,14.95778,1.89E+04,36.70,77.00,-0.85,0.7,2.3,0.80,73.58
Lynga_7,242.76521,-55.31778,7.96E+04,5.16,39.06,2.40,3.6,12.7,0.95,7.90
NGC_6093,244.26004,-22.97608,3.38E+05,2.62,61.98,4.85,11.0,43.5,1.68,10.34
RLGC_1,244.28504,-44.59406,2.97E+05,11.60,172.83,2.39,4.6,17.2,nan,28.84
NGC_6101,246.45049,-72.20219,1.78E+05,14.06,89.11,1.46,3.3,11.6,0.80,14.45
NGC_6121,245.89674,-26.52575,8.71E+04,3.69,53.43,4.19,4.8,19.4,1.65,1.85
NGC_6139,246.91847,-38.84878,3.23E+05,2.47,66.58,5.36,11.5,45.6,1.86,10.04
NGC_6144,246.80777,-26.02350,7.92E+04,4.91,28.18,2.66,3.7,13.6,1.55,8.15
Ter_3,247.16248,-35.33983,4.04E+04,7.19,22.45,1.68,2.2,7.9,0.70,7.64
NGC_6171,248.13275,-13.05378,7.49E+04,3.94,36.17,3.34,4.1,16.0,1.53,5.63
ESO_452-SC11,249.85417,-28.39917,8.26E+03,3.68,10.99,2.53,1.4,5.6,nan,7.39
NGC_6205,250.42181,36.45986,5.45E+05,5.26,134.25,3.34,9.4,34.0,1.53,7.42
